20
1号楼-104 2025-03-12 2025-03-13 水（水管爆裂维修） 280 150 赵六 否
3号楼-302 2023-08-25 2023-08-26 电（配电箱检修） 400 220 孙七 否
5号楼-503 2024-06-07 2024-06-08 五金（抽屉轨道更换） 120 60 周八 否
2号楼-205 2025-01-09 2025-01-10 家具（床架加固） 220 100 吴九 是
7号楼-701 2023-11-15 2023-11-16 其它（下水管道疏通） 180 80 郑十 否
4号楼-402 2024-04-01 2024-04-02 水（马桶漏水维修） 250 130 赵六 否
6号楼-603 2025-07-06 2025-07-07 电（开关面板更换） 100 40 孙七 否
8号楼-801 2023-02-25 2023-02-26 五金（门锁维修） 80 30 周八 是
3号楼-305 2024-09-05 2024-09-06 家具（书架组装） 150 70 吴九 否
5号楼-501 2025-12-12 2025-12-13 其它（阳台栏杆加固） 280 150 郑十 否
2号楼-201 2023-05-09 2023-05-10 水（水龙头阀芯更换） 130 60 赵六 否
7号楼-704 2024-08-22 2024-08-23 电（线路老化整改） 500 300 孙七 否
4号楼-405 2025-03-18 2025-03-19 五金（门窗把手更换） 140 70 周八 否
1号楼-102 2023-10-02 2023-10-03 家具（沙发翻新） 350 180 吴九 是
6号楼-601 2024-06-16 2024-06-17 其它（天花板裂缝修补） 230 110 郑十 否
8号楼-804 2025-01-03 2025-01-04 水（马桶堵塞疏通） 200 120 赵六 否
3号楼-303 2023-07-10 2023-07-11 家具（衣柜组装） 300 140 孙七 否
5号楼-502 2024-04-15 2024-04-16 电（灯具更换） 380 200 周八 否
2号楼-203 2025-11-20 2025-11-21 五金（晾衣架安装） 160 80 吴九 否
7号楼-702 2023-09-25 2023-09-26 其它（墙面刷漆） 220 100 郑十 否
